amfi_code,sharpe,sortino
100016,-0.321119188676436,-0.2807962489476091
100025,-1.0402650746046795,-0.9112789921440793
100033,0.8085194012683689,0.7109913818556608
101206,0.7176323139698289,0.6407745954877864
101207,0.052634515662703364,0.04542379414863479
101208,-4.651848302736834,-5.6487710832538305
102885,0.5199589495988634,0.4587646828677566
102886,-0.29498070706743107,-0.24676101852262106
102887,0.384757065972279,0.3433872967140033
118632,0.7590872493026583,0.6671818769680988
118633,0.38894988221976134,0.3505680112247666
118634,0.2924342528033933,0.2509552684471041
118635,0.39331059012841574,0.34762141665701646
118636,-0.8508437476383091,-0.754872650218469
119092,-0.13104994990487043,-0.11266006788952276
119093,-0.04708790996498518,-0.040267345984460017
119094,0.7307741811176525,0.6577961656909119
119095,-0.15170536738291207,-0.12939978299148136
119120,-0.7433299453192601,-0.6557704410964613
119551,0.8612453347404889,0.7644794260243586
119552,0.6484432595603181,0.5732527730892751
119598,0.7119117121875639,0.6313318917560284
119599,-0.13622050190445142,-0.11501178240919588
120503,0.5167111854082949,0.4546196293776379
120504,0.7149047328366368,0.6230310566576106
120505,0.8835305618597259,0.7877285954099509
120506,0.4047414286757048,0.35342087550444895
120507,-3.65132012260491,-4.701634144417268
120841,0.25519682654471876,0.2219453815612263
120842,-0.05818491781580165,-0.04853611391922315
120843,0.9658612153782937,0.879200710817301
120844,-4.001594214078875,-5.186019468357382
125497,0.5064305663127477,0.4454198818840573
125498,0.1348398014795069,0.11461304618000363
148567,1.068556348275243,0.9241385060425817
148568,0.6408725255448746,0.5650079333924223
148569,0.9193326201674713,0.8297463428472586
149322,0.23973797115762305,0.20544899363615846
149323,0.8331444918410603,0.716859064820366
149324,0.7146440460582301,0.6294818566236063
