amfi_code,alpha,beta,tracking_error
100016,0.03747580763443281,-0.058268431438808936,0.199196863608161
100025,0.042817920315060876,0.0011582183155281435,0.13447658696302506
100033,0.2719535450128533,0.0051035258305283,0.2285998777868355
101206,0.21399784776051212,0.021086316250128034,0.192622528569276
101207,0.10897091901704538,-0.06528924788351524,0.29199027940878963
101208,0.060861457957871144,0.00026670968338238357,0.12890076295069114
102885,0.17048756803412696,-0.019486785689474536,0.18360039504722814
102886,0.02896939786637944,-0.0421250290218943,0.22550994491400445
102887,0.16211256794033255,0.016682689437770806,0.20212821638219566
118632,0.21829397904608644,-0.008353832126962014,0.19203157326490006
118633,0.15643835948169668,-0.03663900671860934,0.1933651925028262
118634,0.1750072167561127,0.10349663691337589,0.2771656834988994
118635,0.1513635464823924,-0.0014335213897801215,0.1829967083367866
118636,0.05074772999976104,0.0012566742731558499,0.13469961398001404
119092,0.0689952982167755,0.009730745001153611,0.188999359549665
119093,0.08232801295222093,0.02588321244009315,0.18781805324020526
119094,0.2607666908004223,-0.06626542862803757,0.23754853762554773
119095,0.048015953637759554,-0.06695117463929201,0.28565694573453254
119120,0.05620895216638369,-0.006413850728276474,0.13558741177417138
119551,0.23201007160635082,-0.03175144113890974,0.191099355207245
119552,0.1986859936686296,-0.026159307513513412,0.19204358583318984
119598,0.3033696538698332,-0.02319606204405971,0.2837578931027634
119599,0.048824215945539845,0.062001804382671666,0.27701451330492644
120503,0.17703302365844073,-0.040268952369820595,0.19286377869652224
120504,0.2119482701352573,0.016232169761417007,0.1915036144553877
120505,0.2926358334175106,0.000549004250631735,0.23186654441195867
120506,0.1625385327998104,0.041896462728119754,0.19591952726841844
120507,0.06746210411099539,-0.00044409263297072297,0.12898740863890368
120841,0.13042924450705445,0.036356399022199795,0.1830390806850624
120842,0.0780443887615508,0.018056874208118173,0.2190739812149299
120843,0.27330465038306057,-0.022829569792426528,0.20633512076043287
120844,0.06455677495375998,-0.0004007442394784006,0.12898939998723252
125497,0.17729754927531766,0.04882040425957738,0.1909889237537514
125498,0.11989100971217971,0.009054412621739182,0.22349476269386295
148567,0.2698375144191807,0.023683558075848637,0.18958112571835645
148568,0.20873010086942337,-0.02638771994384303,0.20312500243127055
148569,0.2827036785246582,0.018133884083859228,0.21727057944788955
149322,0.13173190226099432,-0.0040502711300065145,0.19317994401888078
149323,0.26598577542043045,-0.00252300466469923,0.21942561535398006
149324,0.3005787817097677,0.011455159960520699,0.2790487979409472
