amfi_code,cagr_1yr,cagr_3yr,cagr_5yr,sharpe,sortino,alpha,beta,max_drawdown,expense_ratio_pct,score
100016,-0.02224270997710287,0.01292649342495622,,-0.321119188676436,-0.2807962489476091,0.03747580763443281,-0.058268431438808936,-0.24734440880673303,1.55,21.125
100025,0.03704968580461343,0.039163899571040384,,-1.0402650746046795,-0.9112789921440793,0.042817920315060876,0.0011582183155281435,-0.04308263824636349,0.56,24.25
100033,0.5323239623092084,0.32442459421956116,,0.8085194012683689,0.7109913818556608,0.2719535450128533,0.0051035258305283,-0.16217208574644848,1.38,79.875
101206,0.4792412023860102,0.2896769452874166,,0.7176323139698289,0.6407745954877864,0.21399784776051212,0.021086316250128034,-0.11291596329323073,1.6,61.18750000000001
101207,-0.23986031710270628,-0.04152381044854481,,0.052634515662703364,0.04542379414863479,0.10897091901704538,-0.06528924788351524,-0.3544691649336603,1.53,30.8125
101208,0.0723664530138024,0.06315784491375509,,-4.651848302736834,-5.6487710832538305,0.060861457957871144,0.00026670968338238357,-0.0016224980244717857,0.79,23.5
102885,0.20207703983094838,0.1966726206830185,,0.5199589495988634,0.4587646828677566,0.17048756803412696,-0.019486785689474536,-0.1085986215250232,1.57,47.625
102886,-0.16797480944407306,-0.007674063178547241,,-0.29498070706743107,-0.24676101852262106,0.02896939786637944,-0.0421250290218943,-0.2800112356639287,1.51,22.812500000000004
102887,0.135831349444816,0.25556187904126526,,0.384757065972279,0.3433872967140033,0.16211256794033255,0.016682689437770806,-0.21539827112383225,1.64,50.31249999999999
118632,0.339810484550213,0.22652359830098634,,0.7590872493026583,0.6671818769680988,0.21829397904608644,-0.008353832126962014,-0.17414075086657232,1.51,67.18750000000001
118633,0.25539980483954094,0.2108997654925684,,0.38894988221976134,0.3505680112247666,0.15643835948169668,-0.03663900671860934,-0.18629743138595511,0.72,60.68750000000001
118634,0.15811221971300937,0.08007927728656083,,0.2924342528033933,0.2509552684471041,0.1750072167561127,0.10349663691337589,-0.2334488614483311,1.53,45.3125
118635,0.22493224932249345,0.20008208380471482,,0.39331059012841574,0.34762141665701646,0.1513635464823924,-0.0014335213897801215,-0.1165062450540909,0.89,52.5
118636,0.10454939683040276,0.040622050237771434,,-0.8508437476383091,-0.754872650218469,0.05074772999976104,0.0012566742731558499,-0.08316361763638702,0.55,27.999999999999996
119092,0.016091186722522632,0.005258871209757432,,-0.13104994990487043,-0.11266006788952276,0.0689952982167755,0.009730745001153611,-0.1440161790933726,1.64,19.8125
119093,0.197667410165155,0.20816771175535864,,-0.04708790996498518,-0.040267345984460017,0.08232801295222093,0.02588321244009315,-0.21751396370148224,0.75,52.87500000000001
119094,0.22261065131342206,0.35111802096428524,,0.7307741811176525,0.6577961656909119,0.2607666908004223,-0.06626542862803757,-0.20960883862039192,1.38,81.37500000000001
119095,-0.427976145588544,-0.11705806723995271,,-0.15170536738291207,-0.12939978299148136,0.048015953637759554,-0.06695117463929201,-0.5167775370852656,1.38,26.5
